Id,First Name,Last Name,Stars,Position,Archetype,Overall,Height,Weight,School,Hometown,State,Carrying,Agility,Catching,Zone Coverage,Man Coverage,Football IQ,Kick Accuracy,Kick Power,Pass Block,Pass Rush,Punt Accuracy,Punt Power,Route Running,Run Block,Run Defense,Speed,Strength,Tackle,Throw Power,Throw Accuracy,Injury,Stamina,Discipline,Academic,Free Agency,Personality,Recruiting,Work Ethic,Progression,Potential,Year,Team,Redshirt,JerseyNum
17308,Hector,Marx,2,OLB,Pass Rush,25,76,236,Reading Memorial,Reading,MA,6,28,13,17,14,17,0,9,7,37,0,4,1,6,24,39,17,30,14,10,60,60,36,Average,Drafted team discount,Average,Average,Footwork king,40,C-,1,40,FALSE,
17350,Wilkin,Valaika,2,CB,Zone Coverage,27,70,183,Upper St. Clair,Upper St. Clair,PA,9,28,6,39,24,16,6,4,7,1,6,2,9,2,9,41,8,15,14,11,81,37,45,Average,Highest bidder,Outgoing,Average,Average,57,B-,1,40,FALSE,
17451,Miguel,Dahl,2,QB,Balanced,26,75,209,Vista,Vista,CA,8,20,9,15,13,22,3,7,3,0,8,2,8,4,2,30,13,14,31,33,39,42,21,Average,Hates Tags,Motivation,Average,Focuses on Max Weight,68,B,1,40,FALSE,
17580,Anthony,Kohn,2,OG,Balanced,29,76,293,Bulloch Academy,Statesboro,GA,14,13,12,7,6,18,8,6,30,12,0,5,9,31,9,19,41,11,7,12,64,47,43,Average,Average,Average,Average,Average,60,B-,1,40,FALSE,
361,Ben,Augustin,4,FS,Ball Hawk,45,72,199,Lanier,Sugar Hill,GA,22,48,45,47,47,38,14,8,9,12,13,16,14,12,34,59,23,38,18,18,38,34,63,Average,Market-driven,Average,Average,Loud,41,C,4,41,FALSE,
260,Pedro,Woodard,4,CB,Zone Coverage,47,70,191,Warsaw,Warsaw,IN,23,51,19,59,44,37,16,11,14,9,16,6,8,11,14,62,28,28,15,15,27,55,58,Takes AP classes,Average,Disloyal,Average,Average,54,C+,4,41,FALSE,
427,Raffy,Doubront,4,P,Accuracy,33,74,186,Boerne,Boerne,TX,18,25,21,20,28,37,23,25,14,11,44,23,12,15,15,22,14,14,24,22,55,64,11,Average,Average,Vindictive,Average,Average,55,B,4,41,FALSE,
244,Zack,Ellington,4,SS,Run Stopper,48,72,201,Harry S. Truman,Levittown,PA,27,48,15,52,45,40,13,17,8,13,9,18,22,15,51,63,41,47,24,16,48,75,49,Average,Average,Average,Average,Focuses on Max Weight,68,A-,4,41,FALSE,
619,Ryan,Fede,3,ILB,Run Stopper,40,75,230,Warwick,Lititz,PA,17,35,22,33,37,30,9,0,4,23,10,7,9,2,52,50,51,48,11,12,57,46,43,Tutor,Average,Average,Legacy,Average,43,C,4,41,FALSE,
706,Jake,Moore,3,OLB,Run Stopper,36,75,245,Mount Vernon Presbyterian,Atlanta,GA,16,37,14,31,34,25,2,4,1,19,11,2,8,11,50,44,54,42,14,19,58,52,64,Average,Average,Average,Prefers to play for an up-and-coming team,Average,38,C+,4,41,FALSE,
791,Tim,Romano,3,OT,Balanced,42,76,298,Hawthorne,Hawthorne,FL,18,21,20,14,13,33,11,8,43,19,11,10,3,44,18,22,52,21,17,10,37,37,44,Seeks out tutoring,Average,Average,Average,Average,42,C+,4,41,FALSE,
882,Eric,Carlin,3,RB,Speed,38,70,196,Plano,Plano,TX,27,32,27,20,16,31,7,7,30,7,10,6,10,8,7,75,27,17,17,16,56,73,38,Average,Hates Tags,Average,Average,Average,63,A-,4,41,FALSE,
1099,Eric,Williams,3,DE,Run Stopper,43,75,286,Tallwood,Virginia Beach,VA,19,38,16,14,17,33,8,7,10,39,6,8,9,7,50,46,44,50,15,13,43,41,40,Average,Hometown hero,Average,Average,Persistant,57,B-,4,41,FALSE,
1122,Vinny,Levine,3,WR,Red Zone Threat,39,75,216,Marion County,Buena Vista,GA,26,39,42,11,19,28,3,8,9,4,9,4,38,37,8,52,36,8,14,12,39,48,60,Skips classes often,Average,Average,Average,Average,38,C+,4,41,FALSE,
1401,Jordan,Jackson,3,DT,Balanced,40,75,292,Pennsbury,Fairless Hills,PA,17,32,20,14,13,32,4,7,10,37,6,4,4,7,42,27,47,45,10,14,45,31,44,Average,Average,Disloyal,Average,Average,52,C+,4,41,FALSE,
1486,Sharif,Garcon,3,OG,Balanced,43,76,291,Hale County,Moundville,AL,14,25,22,21,15,33,3,10,41,13,6,5,6,43,11,25,59,14,17,14,51,21,57,More likely to get academic probation,Hates Tags,Average,Average,Average,50,B-,4,41,FALSE,
1792,Alex,Nene,3,QB,Pocket,39,75,221,Liberty Christian,Argyle,TX,11,21,14,19,16,32,10,11,11,11,9,1,11,5,8,44,19,16,49,48,35,59,77,Average,Average,Average,Average,Average,40,C+,4,41,FALSE,
2386,Jake,De La Cruz,2,TE,Receiving,35,75,240,South Gwinnett,Snellville,GA,29,38,39,14,14,28,5,10,35,17,6,12,20,35,9,47,46,17,9,9,39,53,55,Frequent visits to the principal,Adversarial,Average,Average,Average,65,A-,4,41,FALSE,
2861,D.J.,Petit,2,C,Run Blocking,35,77,294,Rossview,Clarksville,TN,16,20,9,15,8,29,7,0,27,12,11,3,11,43,6,19,50,11,10,5,64,57,32,Average,Adversarial,Average,Is going to school mainly for academics,Average,52,C+,4,41,FALSE,
3164,Mike,Brigham,2,FB,Blocking,35,72,246,Orange Park,Orange Park,FL,18,19,19,14,11,23,1,3,47,4,5,9,2,49,10,34,45,10,10,14,49,46,58,Takes AP classes,Hates Tags,Teamwork,Average,Focuses on Max Weight,35,C+,4,41,FALSE,
1695,Vontarrius,Emanuel,3,RB,Receiving,41,71,193,Timpview,Provo,UT,25,42,41,22,14,33,11,3,32,9,5,2,27,5,3,65,27,13,18,13,54,60,68,Average,Average,Average,Prefers to play for a national championship contender,Lazy,51,C+,4,41,FALSE,
1830,Carlos,Armah,3,DE,Speed Rusher,37,77,242,Denison,Denison,TX,12,43,14,15,15,27,8,9,9,43,6,6,9,4,29,47,43,36,16,15,48,53,61,Sits at the back in class,Average,Average,Average,Average,36,C,4,41,FALSE,
1958,Felix,Siakam,2,WR,Red Zone Threat,31,75,215,Hershey,Arlington Heights,IL,19,34,30,11,17,20,9,3,9,2,8,1,31,34,1,45,32,6,14,12,32,25,52,Skips classes often,Drafted team discount,Average,Average,Average,26,D+,4,41,FALSE,
2143,Tomas,Benenoch,2,QB,Field General,33,72,218,Bishop Amat,La Puente,CA,9,17,16,12,16,48,6,2,3,2,6,4,4,12,5,33,17,16,33,37,34,19,62,Average,Average,Average,Prefers to play for a national championship contender,Skips Leg Day,43,C,4,41,FALSE,
2593,Josh,Ellis,2,CB,Man Coverage,37,72,190,Fossil Ridge,Keller,TX,9,37,12,34,47,28,3,4,11,9,10,5,8,7,7,53,10,20,9,8,36,77,59,More likely to get academic probation,Average,Extroverted,Average,Average,55,B-,4,41,FALSE,
2744,Joe,Perez,2,OT,Pass Blocking,36,74,287,St. Croix Central,Hammond,WI,13,20,13,16,15,29,5,7,45,13,8,9,10,26,3,18,50,13,5,12,36,46,50,Average,Average,Average,Average,Average,53,C+,4,41,FALSE,
2902,Brian,Kamara,2,OG,Pass Blocking,36,76,306,Benilde-St. Margaret's,St. Louis Park,MN,9,15,10,14,11,23,9,12,42,14,3,4,14,32,9,17,48,8,9,9,64,57,70,Average,I'm the starter,Average,Average,Average,54,C+,4,41,FALSE,
3005,Gregory,Romo,2,OLB,Run Stopper,33,74,265,Mt. Vernon,Mt. Vernon,IN,9,34,13,26,34,25,6,10,11,18,6,3,4,8,46,39,43,39,7,5,57,53,56,Average,Hometown hero,Average,Prefers to play with former teammates,Average,44,B-,4,41,FALSE,
5256,Cesar,Barnes,4,C,Pass Blocking,41,76,293,Lake Gibson,Lakeland,FL,25,29,25,25,26,33,13,15,48,20,9,15,8,35,5,27,58,19,15,21,51,54,49,Average,Average,Average,Average,Average,54,B-,3,41,FALSE,
5794,Garett,Jones,3,FS,Man Coverage,39,72,204,Memorial,St. Marys,OH,11,41,10,39,51,27,1,5,4,11,6,8,18,8,26,64,14,31,12,19,31,38,45,Average,Average,Intelligent,Average,Skips Leg Day,54,C+,3,41,FALSE,
5294,Joe,Griffin,4,OLB,Coverage,41,73,227,Winnfield,Winnfield,LA,22,43,23,50,48,32,7,13,12,27,7,14,15,13,45,53,39,50,19,19,66,57,58,Average,Average,Average,Average,Track Athlete,43,C,3,41,FALSE,
5232,Brian,Gurriel,4,FB,Balanced,44,71,226,Heritage,Lynchburg,VA,34,37,30,17,19,33,11,7,50,17,9,6,15,52,30,48,52,27,22,24,66,59,57,Average,Average,Average,Average,Hard-working,41,C,3,41,FALSE,
5598,Tyson,Briscoe,3,RB,Balanced,37,70,207,Glenn,Kernersville,NC,30,38,28,13,13,28,8,8,32,7,11,1,5,11,10,65,27,17,17,12,40,59,42,Average,Average,Average,Average,Average,61,B-,3,41,FALSE,
5687,Dominic,Hollis-Jefferson,3,CB,Zone Coverage,40,70,184,Westminster,Atlanta,GA,11,43,17,50,39,30,5,5,9,7,7,9,11,9,15,56,17,19,13,15,54,70,66,Average,Average,Average,Legacy,Persistant,47,C+,3,41,FALSE,
5773,Robert,Cervelli,3,WR,Red Zone Threat,37,75,222,Guthrie,Guthrie,OK,26,37,41,16,15,26,7,6,1,5,11,11,29,34,9,53,38,10,19,11,63,17,80,Average,Average,Dramatic,Average,Skips Leg Day,54,B-,3,41,FALSE,
5866,Aaron,Gossett,3,QB,Balanced,39,75,217,Port Arthur Memorial,Port Arthur,TX,20,31,15,16,20,32,4,10,10,3,2,7,9,1,9,49,28,16,44,44,44,65,52,Average,Average,Average,Prefers to play in a different state,Average,64,B+,3,41,FALSE,
6167,Maikel,Reyes,3,OT,Pass Blocking,39,76,300,Monterey Trail,Elk Grove,CA,19,20,12,14,11,28,10,7,48,20,9,1,9,29,14,22,54,21,10,13,58,51,50,Teacher's Pet,Average,Average,Average,Average,35,C,3,41,FALSE,
6243,Frank,Chamberlain,3,DE,Speed Rusher,37,76,251,Gainesville,Gainesville,FL,15,39,19,18,14,31,9,12,5,43,2,6,5,4,31,48,36,36,14,17,62,99,37,Tutor,Average,Average,Average,Average,44,C,3,41,FALSE,
6376,Tyler,Tate,3,OG,Run Blocking,38,77,307,McArthur,Hollywood,FL,11,23,10,17,15,31,3,5,28,20,4,7,14,48,11,24,51,21,14,15,57,44,49,Average,Average,Average,Average,Average,52,C+,3,41,FALSE,
6464,Anthony,Nieve,3,DT,Pass Rusher,35,75,289,Dale County,Midland City,AL,15,39,16,15,17,26,4,7,5,36,6,4,11,2,32,32,35,45,17,10,81,43,23,Average,Average,Perfectionist,Prefers to play for a team with a rich history,Average,57,B,3,41,FALSE,
7043,Lane,Watson,2,ILB,Coverage,29,73,230,West Branch,West Branch,IA,9,33,13,34,34,19,2,7,7,14,9,8,10,10,26,46,33,36,9,6,69,48,50,Average,Average,Uncooperative,Average,Focuses on Max Reps,38,C,3,41,FALSE,
7220,Luiz,Whalen,2,TE,Blocking,30,79,247,Palm Beach Lakes,West Palm Beach,FL,20,25,24,15,11,22,4,3,36,16,8,2,23,36,12,41,54,9,14,14,84,66,52,Average,Average,Average,Average,Average,64,B,3,41,FALSE,
7930,Ezekiel,Stratton,2,P,Accuracy,22,71,198,Neshaminy,Langhorne,PA,8,11,9,10,14,26,8,10,9,11,32,12,10,9,4,11,8,10,6,8,67,40,36,Average,Average,Average,Average,Gym Rat,58,B,3,41,FALSE,
8160,Jose,Toomer,2,K,Accuracy,29,72,187,Freedom,Woodbridge,VA,16,10,11,8,7,24,41,20,4,3,7,8,6,5,8,15,9,4,13,14,44,32,48,Average,Average,Irrational,Average,Average,64,B+,3,41,FALSE,
6692,Tarell,Griffin,3,WR,Route Runner,41,69,175,Etowah,Woodstock,GA,24,44,39,14,18,30,9,5,2,4,2,1,41,19,8,63,23,1,18,14,44,46,63,Frequent visits to the principal,Average,Average,Average,Center of Attention,60,B+,3,41,FALSE,
6847,Dwayne,Hoffman,2,QB,Balanced,32,75,204,Airport,Carleton,MI,15,24,10,13,10,28,3,10,4,7,6,7,8,7,9,43,23,12,36,37,37,44,37,Average,Average,Average,Average,Lazy,64,B,3,41,FALSE,
6992,Wandy,Lindor,2,DE,Run Stopper,31,76,284,Avon Lake,Avon Lake,OH,16,28,15,8,12,20,6,6,2,24,6,12,13,10,39,35,39,37,10,7,44,56,39,Average,Hates Tags,Average,Average,Average,64,B,3,41,FALSE,
7119,Cobi,Smith,2,DT,Balanced,33,76,292,Eastside,Gainesville,FL,7,30,12,13,14,22,11,3,5,31,9,6,8,7,36,22,34,41,8,9,49,31,28,Average,Average,Average,Average,Average,46,B-,3,41,FALSE,
7471,Jon,Embiid,2,OT,Pass Blocking,34,75,296,Rising Sun,North East,MD,10,15,14,8,8,24,7,1,39,12,2,5,5,29,6,19,48,12,11,11,52,56,63,Average,Average,Average,Prefers to play for a recent national championship winner,Average,47,C+,3,41,FALSE,
7733,Neftali,Brown,2,CB,Zone Coverage,34,71,181,Cypress Ridge,Houston,TX,12,35,15,45,25,24,10,4,6,12,6,9,12,3,12,51,12,19,9,14,84,28,48,Average,Average,Average,Average,Average,51,B,3,41,FALSE,
7848,J.C.,Ward,2,ILB,Speed,32,74,219,Walkersville,Walkersville,MD,14,40,8,34,32,21,8,9,9,19,3,7,5,2,41,55,32,33,5,6,44,72,44,Never Studies,Average,Average,Average,Skips Leg Day,50,B-,3,41,FALSE,
7905,LeGarrette,Dunning,2,RB,Balanced,34,70,213,Eastern Wayne,Goldsboro,NC,27,35,25,15,14,25,9,10,29,4,10,9,10,3,6,59,27,12,11,9,50,61,68,Average,Average,Average,Prefers to play for a specific coach,Average,55,B,3,41,FALSE,
10543,Bo,Robinson,3,FS,Zone Coverage,35,70,189,Roanoke Rapids,Roanoke Rapids,NC,11,43,14,44,30,30,3,0,7,7,6,6,6,6,22,51,17,22,18,15,60,63,48,Never Studies,Average,Average,Prefers to play for a team where he can start immediately,Average,50,B-,2,41,FALSE,
10713,Mike,Nader,3,FB,Receiving,37,72,228,Chaminade,West Hills,CA,19,37,37,16,12,26,9,2,38,2,5,2,20,40,2,49,47,15,11,16,44,81,49,Average,Average,Average,Prefers to play for a team where he can start immediately,Average,63,B,2,41,FALSE,
10241,Ty,Bogdanovic,4,DE,Speed Rusher,40,76,245,Kinkaid,Houston,TX,22,48,16,19,22,28,7,5,9,44,13,9,11,6,35,52,36,44,15,20,33,33,43,Average,Average,Average,Prefers to play with former teammates,Average,63,A-,2,41,FALSE,
10226,Santiago,Mickolio,4,RB,Balanced,37,71,207,Brighton,Brighton,MI,30,36,28,24,20,30,9,10,28,9,11,9,15,7,8,64,27,21,15,19,60,46,60,Average,Average,Average,Average,Average,35,C,2,41,FALSE,
10602,Danny,Pressley,3,OT,Balanced,35,74,295,Greater Atlanta Christian,Norcross,GA,17,16,13,11,15,27,1,3,33,18,3,9,8,37,18,23,48,19,12,16,44,72,26,Borderline failing,Average,Introvert,Average,Average,55,B,2,41,FALSE,
10692,Brooks,Jones,3,OLB,Pass Rush,34,76,235,Wagner,San Antonio,TX,14,43,16,22,22,27,1,8,1,45,9,2,6,8,33,48,29,36,14,16,33,71,47,Studious,Average,Eccentric,Average,Average,46,B-,2,41,FALSE,
10782,Rees,Macon,3,K,Accuracy,32,72,182,Belaire,Baton Rouge,LA,14,21,13,10,12,26,41,25,2,5,17,18,7,6,8,12,8,4,13,17,65,40,53,Average,Money motivated,Average,Average,Average,33,C,2,41,FALSE,
10868,Jeremiah,McCray,3,WR,Speed,36,71,190,Marshfield,Marshfield,WI,23,32,33,21,17,21,9,5,5,7,10,3,33,11,0,66,16,8,14,16,27,45,43,Average,Adversarial,Average,Average,Persistant,40,C,2,41,FALSE,
11200,Tim,Feliciano,3,QB,Pocket,31,76,221,Jonesboro,Jonesboro,GA,19,16,19,16,19,19,9,9,1,2,5,3,4,11,10,32,18,18,41,43,74,24,22,Average,Average,Average,Prefers to play in a different state,Average,45,C+,2,41,FALSE,
11217,Stephen,Hernandez,3,CB,Zone Coverage,39,71,177,Canyon Springs,North Las Vegas,NV,20,44,9,53,33,25,10,4,10,3,9,8,6,4,9,54,19,21,12,16,57,65,70,Average,Average,Average,Average,Average,67,A-,2,41,FALSE,
11450,Jeremy,Sutton,3,TE,Blocking,32,77,257,Live Oak,Watson,LA,24,28,29,18,11,27,10,6,40,19,3,6,18,40,15,38,53,10,10,19,68,60,25,Average,Average,Average,Average,Average,45,C+,2,41,FALSE,
11537,Jake,Manuel,3,DT,Balanced,32,75,291,Bullis,Potomac,MD,18,28,24,19,14,23,10,2,8,26,8,1,4,6,33,30,41,37,10,18,46,57,34,Average,Average,Jokester,Average,Average,57,B,2,41,FALSE,
12092,Bobo,Campbell,2,OG,Run Blocking,32,75,311,Dunbar,Fort Myers,FL,7,15,13,11,8,21,0,4,25,12,4,7,3,41,7,19,44,9,12,5,43,74,57,Average,Average,Stoic,Average,Average,44,C+,2,41,FALSE,
12305,Alex,Danish,2,ILB,Field General,29,72,230,Mayfair,Lakewood,CA,10,26,6,35,23,34,5,7,4,14,5,4,11,7,26,42,27,33,12,9,70,48,31,Values academics,Average,Average,Average,Center of Attention,48,C+,2,41,FALSE,
12643,Chad,Fountain,2,SS,Zone Coverage,31,69,195,Crystal Lake Central,Crystal Lake,IL,12,26,12,42,26,30,7,7,9,8,4,9,6,3,23,49,15,19,12,13,64,33,21,More likely to get academic probation,Adversarial,Relaxed,Average,Working-Class mentality,57,B,2,41,FALSE,
12865,Jamar,Ivory,2,C,Run Blocking,30,76,292,Park City,Park City,UT,10,16,7,10,14,18,9,8,26,15,9,11,10,36,10,19,47,11,11,6,55,51,73,More likely to get academic probation,Average,Average,Average,Focuses on Max Reps,58,B,2,41,FALSE,
11676,Garrett,Nugent,3,OT,Balanced,36,75,298,Hinsdale South,Darien,IL,19,17,16,18,16,23,4,1,39,16,9,7,6,34,18,21,49,11,15,14,54,85,26,Average,Average,Average,Multi-Sport,Average,55,B+,2,41,FALSE,
11820,Sean,Grant,2,WR,Speed,32,71,198,West Brook,Beaumont,TX,22,32,26,15,13,16,10,7,4,4,9,8,29,11,9,65,13,8,12,9,71,39,57,Average,Average,Average,Average,Average,55,B,2,41,FALSE,
11942,Trevor,Whittaker,2,DE,Run Stopper,28,75,296,Decatur Central,Indianapolis,IN,11,20,10,12,11,21,1,2,4,26,8,4,9,9,32,35,31,35,13,10,46,40,64,Values academics,Average,Average,Average,Average,44,C+,2,41,FALSE,
12124,Aaron,Tonkin,2,CB,Man Coverage,32,71,193,Ripon Christian,Ripon,CA,10,36,12,26,40,19,2,6,0,8,10,1,8,4,10,48,13,15,14,13,35,26,46,Never Studies,Highest bidder,Average,Average,Average,40,C+,2,41,FALSE,
12617,Michael,Miles,2,QB,Pocket,30,76,230,Wicomico,Salisbury,MD,9,13,15,7,11,21,10,9,4,6,10,1,2,11,7,27,15,7,40,44,29,28,32,Average,Average,Average,Average,Average,67,A-,2,41,FALSE,
12621,Kevin,Harvey-Clemons,2,RB,Power,27,72,230,Merritt Island,Merritt Island,FL,28,25,16,13,16,22,6,4,30,2,2,1,0,10,2,51,25,8,6,12,73,32,52,Average,Average,Average,Average,Average,54,B,2,41,FALSE,
12947,Angel,Darling,2,DT,Pass Rusher,27,75,294,Grand Ledge,Grand Ledge,MI,11,26,13,8,13,17,4,9,7,28,8,3,7,10,26,29,29,35,11,7,60,68,48,Teacher's Pet,Average,Average,Average,Average,36,C,2,41,FALSE,
13023,T.J.,Montero,2,FS,Man Coverage,29,72,205,Bishop Dunne,Dallas,TX,14,34,10,25,39,17,9,1,4,6,2,4,12,1,19,49,13,22,14,5,57,65,36,Average,Average,Average,Average,Average,51,B-,2,41,FALSE,
15196,Parker,Metu,4,FB,Rushing,37,72,221,Neshaminy,Langhorne,PA,26,36,19,25,18,28,11,13,42,9,9,9,14,42,10,51,44,18,18,20,47,63,51,Distracted,Average,Introvert,Average,Average,48,C+,1,41,FALSE,
15419,Elijah,Robinson,3,ILB,Coverage,30,74,235,Katy,Katy,TX,11,31,23,35,38,22,5,4,3,16,7,4,11,6,33,38,30,37,16,19,52,49,58,Average,Average,Average,Average,Average,63,B-,1,41,FALSE,
15144,Geoff,Alburquerque,4,RB,Receiving,38,70,194,Flowery Branch,Flowery Branch,GA,25,42,38,22,19,30,15,7,23,14,10,9,36,12,13,60,23,18,19,21,54,33,72,Average,Average,Average,Average,Average,48,C,1,41,FALSE,
15209,Kyle,Pena,4,DT,Balanced,35,75,308,Etowah,Woodstock,GA,15,28,30,22,24,25,11,8,14,28,13,10,10,15,39,31,42,38,15,22,29,60,35,Average,Average,Average,Average,Average,41,C+,1,41,FALSE,
15543,Troy,Thomas,3,WR,Possesion,32,72,192,Northeast,Pasadena,MD,25,30,39,19,20,21,9,8,10,5,9,5,23,13,4,48,25,8,19,17,47,36,85,Tutor,Average,Average,Average,Average,67,A-,1,41,FALSE,
15639,Jose,McGrath,3,OT,Pass Blocking,33,76,302,Chamberlain,Tampa,FL,12,17,18,12,16,21,1,9,41,10,5,4,4,23,6,22,49,12,14,15,62,65,55,Average,Highest bidder,Average,Average,Average,44,C+,1,41,FALSE,
15726,Alex,Miller,3,C,Pass Blocking,30,77,291,Bloomingdale,Valrico,FL,15,14,11,13,11,22,5,0,37,16,7,2,3,22,10,24,49,19,19,12,48,51,13,Average,Average,Average,Prefers to be close to home,Average,43,C,1,41,FALSE,
15815,Lane,Korkmaz,3,CB,Zone Coverage,33,71,177,Princeton,Cincinnati,OH,14,33,11,46,31,22,6,2,9,1,3,1,6,7,10,49,9,17,14,12,69,35,32,Average,Average,Average,Average,Average,41,C,1,41,FALSE,
16051,Antwaun,Pagnozzi,3,DE,Run Stopper,31,76,285,Pleasant Hill,Pleasant Hill,MO,19,26,12,20,15,25,6,7,8,23,2,8,6,1,36,39,37,37,12,16,71,34,66,Skips classes often,Championship seeking,Average,Prefers to play for a team where he can start immediately,Focuses on Max Reps,57,B,1,41,FALSE,
16235,Sean,Curtiss,3,K,Power,33,70,193,DeRidder,DeRidder,LA,11,13,14,14,11,25,25,43,4,10,17,17,3,8,1,12,1,6,16,17,68,57,56,Average,Average,Average,Average,Average,68,B,1,41,FALSE,
16331,Seantrel,Tom,3,OG,Pass Blocking,34,75,287,St. Thomas Catholic,Houston,TX,16,17,16,19,14,25,6,5,42,18,6,6,8,25,14,22,48,20,14,18,76,29,76,Average,I'm the starter,Abrasive,Prefers to play in a different state,Film Room Genius,63,B,1,41,FALSE,
16422,Justin,Marquez,3,OLB,Pass Rush,32,76,247,Milledgeville,Milledgeville,IL,19,39,20,23,25,23,5,9,4,45,7,0,11,2,27,46,23,37,13,12,74,39,48,Average,Average,Intelligent,Average,Average,66,B,1,41,FALSE,
16900,Jusuf,Ebner,2,QB,Pocket,26,76,221,Central Catholic,Morgan City,LA,14,8,5,8,10,17,8,4,7,10,8,10,8,2,8,28,8,10,37,36,28,64,56,Average,Average,Average,Average,Average,53,B-,1,41,FALSE,
17214,Raimel,Sanu,2,TE,Receiving,24,75,235,North Hardin,Radcliff,KY,12,22,22,9,14,18,1,3,30,15,9,1,14,28,12,40,38,9,13,6,24,47,67,Wants to finish degree,Average,Average,Average,Average,46,B-,1,41,FALSE,
17457,Cole,Dennick,2,FS,Zone Coverage,28,72,195,Father Ryan,Nashville,TN,8,30,13,37,19,26,1,0,2,8,4,3,7,4,16,44,11,17,5,14,36,41,62,Average,Average,Average,Average,Average,48,B-,1,41,FALSE,
17731,Tim,Cortes,2,SS,Run Stopper,25,72,206,Haywood,Brownsville,TN,10,26,6,19,23,17,7,2,2,1,6,8,10,1,29,44,23,23,5,9,55,55,35,Average,Average,Average,Prefers to be close to home,Average,48,B,1,41,FALSE,
16650,Marco,Gurka,3,CB,Zone Coverage,33,70,172,Hastings,Hastings,MI,18,34,7,48,28,25,5,2,2,2,4,6,3,5,14,47,17,12,13,15,34,21,55,Average,Wants extensions,Average,Average,Average,74,A,1,41,FALSE,
16781,Mike,Bradley,3,RB,Speed,32,71,195,Eastern Alamance,Mebane,NC,19,30,17,20,17,25,7,6,21,2,1,2,7,5,3,65,24,12,16,14,51,65,33,Average,Average,Average,Average,Average,62,B+,1,41,FALSE,
16946,Ruben,Taylor,2,OT,Balanced,28,75,297,St. John's,Shrewsbury,MA,7,11,12,8,6,17,7,6,28,9,9,1,1,26,14,19,45,6,7,14,28,51,48,Average,Average,Tough,Average,Average,51,B-,1,41,FALSE,
17043,Justin,Revere,2,WR,Red Zone Threat,26,75,229,Lenape,Medford,NJ,13,25,27,11,10,18,9,7,9,0,1,2,19,34,10,43,24,7,13,11,54,39,66,Average,Average,Motivation,Average,Average,57,B+,1,41,FALSE,
17292,Francisco,Guaipe,2,DE,Run Stopper,24,74,289,Palm Beach Lakes,West Palm Beach,FL,12,20,14,15,9,14,7,9,3,20,9,1,3,5,28,28,28,32,8,12,53,47,67,Average,Average,Average,Average,Average,54,B+,1,41,FALSE,
17757,Hayden,Redmond,2,QB,Balanced,26,75,196,Anthony Wayne,Whitehouse,OH,12,18,8,5,7,18,1,1,10,2,6,0,1,6,7,35,17,7,35,30,47,20,45,Naturally book smart,Average,Average,Is going to school mainly for academics,Average,34,C+,1,41,FALSE,
17910,Alfredo,Aquino,2,OLB,Pass Rush,24,76,235,Homestead,Mequon,WI,13,31,5,13,14,16,10,2,4,35,7,1,5,10,21,33,19,33,14,14,42,50,47,Loves Learning,Average,Average,Average,Average,35,C+,1,41,FALSE,
18016,Jaydon,Montgomery,2,ILB,Field General,28,71,230,Granville,Granville,OH,11,27,14,35,19,34,4,7,7,15,2,4,8,9,28,40,24,27,7,6,41,60,26,Sits at the front in class,Average,Average,Average,Average,48,C,1,41,FALSE,
254,Bradley,Huff,4,OLB,Pass Rush,42,74,233,Trinity,Midland,TX,18,54,21,36,33,31,10,14,12,52,6,11,17,7,36,57,33,53,15,24,80,42,49,Average,Average,Irrational,Average,Average,33,D+,4,42,FALSE,
571,Bobby,Telis,3,P,Power,30,71,197,Longview,Longview,TX,21,14,18,22,18,35,21,15,11,12,22,39,8,8,2,18,3,3,14,13,37,49,52,Average,Average,Outgoing,Prefers to play for a national championship contender,Center of Attention,70,A-,4,42,FALSE,
561,Richaun,Desir,3,FB,Rushing,40,71,227,Boonton,Boonton,NJ,26,39,20,16,15,32,3,4,44,3,10,9,9,42,5,59,52,15,14,18,51,69,33,Average,Average,Flamboyant,Average,Working-Class mentality,48,B-,4,42,FALSE,
309,Steve,Lucas,4,DE,Run Stopper,48,74,294,Airport,Carleton,MI,28,41,19,26,27,41,14,9,12,47,9,10,18,15,54,51,52,51,17,16,78,68,31,Tutor,Average,Average,Prefers to play for a team where he can start immediately,Average,78,A-,4,42,FALSE,
736,Stacy,Perez,3,RB,Power,40,70,211,Morrison,Morrison,OK,45,36,27,14,19,33,8,7,44,11,8,8,13,4,11,65,40,13,17,15,41,75,36,Average,Money motivated,Average,Average,Average,71,A,4,42,FALSE,
820,Jordan,Colon,3,CB,Man Coverage,41,72,184,Nederland,Nederland,TX,14,47,20,40,53,27,7,7,10,7,2,7,15,1,8,54,15,23,12,18,50,8,51,Average,Market-driven,Intelligent,Open-Minded,Average,42,C,4,42,FALSE,
904,Yolmer,Ejiofor,3,WR,Route Runner,42,69,174,Eagle's Landing Christian Academy,McDonough,GA,30,42,38,20,16,33,10,7,9,3,11,9,41,18,10,61,29,6,12,14,35,44,18,Average,Average,Motivation,Average,Average,58,B-,4,42,FALSE,
969,Boban,Allen,3,QB,Scrambler,40,73,232,Jackson,Jackson,MO,36,41,16,20,14,32,3,8,6,8,7,8,5,11,10,75,32,15,37,42,48,69,50,Distracted,Average,Average,Average,Average,62,B,4,42,FALSE,
